chat,session_number,total_sessions,progress,messages,latency_seconds,indexed,failed,graph_nodes,graph_edges,chunks,valid
Chat_2_Kevin_Elise,17,22,0.7727272727272727,17,20.24457049369812,17,0,2738,718973,17,True
Chat_2_Kevin_Elise,18,22,0.8181818181818182,11,21.59211826324463,18,0,2916,787939,18,True
Chat_2_Kevin_Elise,19,22,0.8636363636363636,16,30.01935839653015,19,0,3284,877620,19,True
Chat_2_Kevin_Elise,20,22,0.9090909090909091,45,32.34363412857056,20,0,3597,985421,20,True
Chat_2_Kevin_Elise,21,22,0.9545454545454546,5,14.734553813934326,21,0,3685,1071986,21,True
Chat_2_Kevin_Elise,22,22,1.0,11,15.242902994155884,22,0,3786,1158509,22,True
Chat_3_Kevin_Paola,1,21,0.047619047619047616,23,28.59377121925354,1,0,256,15715,1,True
Chat_3_Kevin_Paola,2,21,0.09523809523809523,25,27.854954481124878,2,0,474,37951,2,True
Chat_3_Kevin_Paola,3,21,0.14285714285714285,22,11.828484296798706,3,0,592,55555,3,True
Chat_3_Kevin_Paola,4,21,0.19047619047619047,23,17.444239377975464,4,0,772,77361,4,True
Chat_3_Kevin_Paola,5,21,0.23809523809523808,23,16.569405794143677,5,0,939,102149,5,True
Chat_3_Kevin_Paola,6,21,0.2857142857142857,15,15.846484899520874,6,0,1120,135577,6,True
Chat_3_Kevin_Paola,7,21,0.3333333333333333,25,23.132346868515015,7,0,1298,170040,7,True
Chat_3_Kevin_Paola,8,21,0.38095238095238093,22,20.760228633880615,8,0,1485,207088,8,True
Chat_3_Kevin_Paola,9,21,0.42857142857142855,21,21.834376573562622,9,0,1592,248538,9,True
Chat_3_Kevin_Paola,10,21,0.47619047619047616,25,21.169272661209106,10,0,1748,292222,10,True
Chat_3_Kevin_Paola,11,21,0.5238095238095238,21,19.858399868011475,11,0,1825,335225,11,True
Chat_3_Kevin_Paola,12,21,0.5714285714285714,18,23.945951223373413,12,0,1974,377059,12,True
Chat_3_Kevin_Paola,13,21,0.6190476190476191,5,15.060231685638428,13,0,2043,416722,13,True
Chat_3_Kevin_Paola,14,21,0.6666666666666666,27,24.912466049194336,14,0,2179,462473,14,True
Chat_3_Kevin_Paola,15,21,0.7142857142857143,2,15.649862051010132,15,0,2199,511117,15,True
Chat_3_Kevin_Paola,16,21,0.7619047619047619,47,42.025904417037964,16,0,2591,587460,16,True
Chat_3_Kevin_Paola,17,21,0.8095238095238095,24,25.05364155769348,17,0,2787,656530,17,True
Chat_3_Kevin_Paola,18,21,0.8571428571428571,1,7.205138206481934,18,0,2797,727039,18,True
Chat_3_Kevin_Paola,19,21,0.9047619047619048,20,15.60285496711731,19,0,2887,793714,19,True
Chat_3_Kevin_Paola,20,21,0.9523809523809523,16,20.44366216659546,20,0,3098,883569,20,True
Chat_3_Kevin_Paola,21,21,1.0,17,22.954650163650513,21,0,3292,964303,21,True
Chat_4_Emi_Paola,1,20,0.05,28,21.784241199493408,1,0,178,7301,1,True
Chat_4_Emi_Paola,2,20,0.1,14,7.509043455123901,2,0,261,12793,2,True
Chat_4_Emi_Paola,3,20,0.15,24,30.84939217567444,3,0,455,27439,3,True
Chat_4_Emi_Paola,4,20,0.2,21,20.895169973373413,4,0,627,45298,4,True
Chat_4_Emi_Paola,5,20,0.25,22,19.73627781867981,5,0,773,66844,5,True
Chat_4_Emi_Paola,6,20,0.3,24,16.9559109210968,6,0,941,92190,6,True
Chat_4_Emi_Paola,7,20,0.35,37,27.236307859420776,7,0,1122,124289,7,True
Chat_4_Emi_Paola,8,20,0.4,25,21.8766131401062,8,0,1403,171177,8,True
Chat_4_Emi_Paola,9,20,0.45,19,22.134791612625122,9,0,1521,203664,9,True
Chat_4_Emi_Paola,10,20,0.5,13,26.677286624908447,10,0,1669,237145,10,True
Chat_4_Emi_Paola,11,20,0.55,18,24.745666980743408,11,0,1805,268406,11,True
Chat_4_Emi_Paola,12,20,0.6,17,20.39306402206421,12,0,1895,306345,12,True
Chat_4_Emi_Paola,13,20,0.65,21,18.574650049209595,13,0,2040,347681,13,True
Chat_4_Emi_Paola,14,20,0.7,17,23.720659255981445,14,0,2175,392342,14,True
Chat_4_Emi_Paola,15,20,0.75,18,19.44298768043518,15,0,2316,435413,15,True
Chat_4_Emi_Paola,16,20,0.8,17,18.1314058303833,16,0,2383,476372,16,True
Chat_4_Emi_Paola,17,20,0.85,20,23.72284960746765,17,0,2531,531016,17,True
Chat_4_Emi_Paola,18,20,0.9,13,26.23823070526123,18,0,2738,597154,18,True
Chat_4_Emi_Paola,19,20,0.95,16,21.261215209960938,19,0,2887,651949,19,True
Chat_4_Emi_Paola,20,20,1.0,26,30.0081148147583,20,0,3001,724172,20,True
Chat_5_Nicolas_Nebraas,1,23,0.043478260869565216,110,22.00438690185547,1,0,351,34443,1,True
Chat_5_Nicolas_Nebraas,2,23,0.08695652173913043,99,16.614607572555542,2,0,599,71491,2,True
Chat_5_Nicolas_Nebraas,3,23,0.13043478260869565,102,28.54748558998108,3,0,1013,147990,3,True
Chat_5_Nicolas_Nebraas,4,23,0.17391304347826086,101,21.645660638809204,4,0,1312,240049,4,True
Chat_5_Nicolas_Nebraas,5,23,0.21739130434782608,43,15.901697397232056,5,0,1503,321505,5,True
Chat_5_Nicolas_Nebraas,6,23,0.2608695652173913,116,21.79281520843506,6,0,1802,422503,6,True
Chat_5_Nicolas_Nebraas,7,23,0.30434782608695654,80,17.110846042633057,7,0,2018,527317,7,True
Chat_5_Nicolas_Nebraas,8,23,0.34782608695652173,24,10.744886875152588,8,0,2140,648712,8,True
Chat_5_Nicolas_Nebraas,9,23,0.391304347826087,17,8.053580045700073,9,0,2206,751544,9,True
Chat_5_Nicolas_Nebraas,10,23,0.43478260869565216,9,5.375478267669678,10,0,2244,851485,10,True
Chat_5_Nicolas_Nebraas,11,23,0.4782608695652174,90,28.4387629032135,11,0,2567,968889,11,True
Chat_5_Nicolas_Nebraas,12,23,0.5217391304347826,4,5.23223090171814,12,0,2592,1103228,12,True
Chat_5_Nicolas_Nebraas,13,23,0.5652173913043478,21,9.576439142227173,13,0,2666,1228516,13,True
Chat_5_Nicolas_Nebraas,14,23,0.6086956521739131,33,23.693170070648193,14,0,2880,1363145,14,True
Chat_5_Nicolas_Nebraas,15,23,0.6521739130434783,37,14.918554544448853,15,0,2980,1479964,15,True
Chat_5_Nicolas_Nebraas,16,23,0.6956521739130435,52,28.877782106399536,16,0,3319,1647267,16,True
Chat_5_Nicolas_Nebraas,17,23,0.7391304347826086,91,50.61149477958679,17,0,3755,1811356,17,True
Chat_5_Nicolas_Nebraas,18,23,0.782608695652174,42,17.851790189743042,18,0,3934,1982058,18,True
Chat_5_Nicolas_Nebraas,19,23,0.8260869565217391,53,17.09956431388855,19,0,4105,2151788,19,True
Chat_5_Nicolas_Nebraas,20,23,0.8695652173913043,84,17.3985698223114,20,0,4301,2355371,20,True
Chat_5_Nicolas_Nebraas,21,23,0.9130434782608695,183,58.78618264198303,21,0,4986,2604447,21,True
Chat_5_Nicolas_Nebraas,22,23,0.9565217391304348,63,30.76299476623535,22,0,5287,2807928,22,True
Chat_5_Nicolas_Nebraas,23,23,1.0,94,34.84269380569458,23,0,5633,3077195,23,True
Chat_6_Vanessa_Nicolas,1,25,0.04,130,46.366745948791504,1,0,454,55347,1,True
Chat_6_Vanessa_Nicolas,2,25,0.08,137,44.5991325378418,2,0,931,144129,2,True
Chat_6_Vanessa_Nicolas,3,25,0.12,162,37.4060800075531,3,0,1486,282930,3,True
Chat_6_Vanessa_Nicolas,4,25,0.16,109,33.25000739097595,4,0,1908,462883,4,True
Chat_6_Vanessa_Nicolas,5,25,0.2,81,60.549206495285034,5,0,2348,651811,5,True
Chat_6_Vanessa_Nicolas,6,25,0.24,116,50.6223030090332,6,0,2917,884179,6,True
Chat_6_Vanessa_Nicolas,7,25,0.28,56,45.53190064430237,7,0,3142,1080874,7,True
Chat_6_Vanessa_Nicolas,8,25,0.32,22,38.62058186531067,8,0,3248,1281993,8,True
Chat_6_Vanessa_Nicolas,9,25,0.36,12,27.549800157546997,9,0,3521,1480240,9,True
Chat_6_Vanessa_Nicolas,10,25,0.4,27,33.085660457611084,10,0,3666,1659441,10,True
Chat_6_Vanessa_Nicolas,11,25,0.44,22,38.34481596946716,11,0,3745,1830159,11,True
Chat_6_Vanessa_Nicolas,12,25,0.48,25,29.71188235282898,12,0,3810,1994987,12,True
Chat_6_Vanessa_Nicolas,13,25,0.52,28,31.694119930267334,13,0,3975,2165652,13,True
Chat_6_Vanessa_Nicolas,14,25,0.56,40,44.78172779083252,14,0,4250,2339739,14,True
Chat_6_Vanessa_Nicolas,15,25,0.6,42,33.89576578140259,15,0,4465,2529360,15,True
Chat_6_Vanessa_Nicolas,16,25,0.64,42,38.005494832992554,16,0,4752,2736640,16,True
Chat_6_Vanessa_Nicolas,17,25,0.68,64,44.723721504211426,17,0,5108,2947941,17,True
Chat_6_Vanessa_Nicolas,18,25,0.72,66,40.82638692855835,18,0,5351,3159862,18,True
Chat_6_Vanessa_Nicolas,19,25,0.76,36,37.89151620864868,19,0,5533,3393779,19,True
Chat_6_Vanessa_Nicolas,20,25,0.8,47,34.58149695396423,20,0,5736,3687382,20,True
Chat_6_Vanessa_Nicolas,21,25,0.84,112,58.591546297073364,21,0,6151,3957227,21,True
Chat_6_Vanessa_Nicolas,22,25,0.88,10,31.329808712005615,22,0,6219,4216958,22,True
Chat_6_Vanessa_Nicolas,23,25,0.92,27,35.579997539520264,23,0,6308,4475775,23,True
Chat_6_Vanessa_Nicolas,24,25,0.96,69,50.005600452423096,24,0,6740,4738013,24,True
Chat_6_Vanessa_Nicolas,25,25,1.0,29,35.67997932434082,25,0,6864,5010344,25,True
Chat_7_Nebraas_Vanessa,1,25,0.04,125,22.705816984176636,1,0,326,25876,1,True
Chat_7_Nebraas_Vanessa,2,25,0.08,42,15.72979211807251,2,0,512,46942,2,True
Chat_7_Nebraas_Vanessa,3,25,0.12,55,12.094961643218994,3,0,663,70437,3,True
Chat_7_Nebraas_Vanessa,4,25,0.16,89,25.149930953979492,4,0,983,118727,4,True
Chat_7_Nebraas_Vanessa,5,25,0.2,88,21.704394578933716,5,0,1269,185606,5,True
Chat_7_Nebraas_Vanessa,6,25,0.24,82,27.316935539245605,6,0,1632,285432,6,True
Chat_7_Nebraas_Vanessa,7,25,0.28,51,22.283910751342773,7,0,1802,374800,7,True
Chat_7_Nebraas_Vanessa,8,25,0.32,37,8.871500492095947,8,0,1900,460704,8,True
Chat_7_Nebraas_Vanessa,9,25,0.36,35,15.195938348770142,9,0,2057,546945,9,True
Chat_7_Nebraas_Vanessa,10,25,0.4,31,16.123603343963623,10,0,2283,649669,10,True
Chat_7_Nebraas_Vanessa,11,25,0.44,15,10.762030601501465,11,0,2362,727975,11,True
Chat_7_Nebraas_Vanessa,12,25,0.48,46,23.631690979003906,12,0,2607,817853,12,True
Chat_7_Nebraas_Vanessa,13,25,0.52,27,11.587998867034912,13,0,2701,899529,13,True
Chat_7_Nebraas_Vanessa,14,25,0.56,7,10.608794689178467,14,0,2755,1006712,14,True
Chat_7_Nebraas_Vanessa,15,25,0.6,26,15.976444959640503,15,0,2892,1092303,15,True
Chat_7_Nebraas_Vanessa,16,25,0.64,51,16.584439039230347,16,0,3041,1204661,16,True
Chat_7_Nebraas_Vanessa,17,25,0.68,111,39.66401982307434,17,0,3538,1351755,17,True
Chat_7_Nebraas_Vanessa,18,25,0.72,29,25.33899164199829,18,0,3714,1488725,18,True
Chat_7_Nebraas_Vanessa,19,25,0.76,51,19.31523609161377,19,0,3894,1623526,19,True
Chat_7_Nebraas_Vanessa,20,25,0.8,64,33.797879695892334,20,0,4106,1798898,20,True
Chat_7_Nebraas_Vanessa,21,25,0.84,7,14.360480070114136,21,0,4194,1927959,21,True
Chat_7_Nebraas_Vanessa,22,25,0.88,16,15.543927192687988,22,0,4264,2056400,22,True
Chat_7_Nebraas_Vanessa,23,25,0.92,53,24.13463830947876,23,0,4561,2225125,23,True
Chat_7_Nebraas_Vanessa,24,25,0.96,22,16.0958514213562,24,0,4630,2351313,24,True
Chat_7_Nebraas_Vanessa,25,25,1.0,2,29.411072492599487,25,0,4638,2514596,25,True
