stage,n,rebuild_mean,rebuild_median,streaming_mean,streaming_median,mean_seconds_saved,mean_percent_reduction,mean_speedup
25%,10,54.5254322408975,46.89115003749612,24.555593609809875,22.73127508163452,29.969838631087622,53.82085041920722,2.371446756283017
50%,10,58.32672413409891,59.13369254000281,25.01147680282593,27.044606804847717,33.315247331272985,55.75168595752673,3.1216365372922565
75%,10,74.5242176951986,75.43492801750108,29.44301345348358,31.31125259399414,45.08120424171502,61.082139891872245,3.2414651994294124
100%,10,86.7269095872005,82.9159063344996,34.67555038928985,29.709593653678894,52.05135919791064,60.63555621544092,2.8627068397477293
