chat,total_sessions,checkpoint_sessions,fraction,wall_time_seconds,chunks_rebuild,graph_nodes_rebuild,graph_edges_rebuild,valid_rebuild,session_number,latency_seconds,messages,graph_nodes_stream,graph_edges_stream,chunks_stream,valid_stream,stage_num,stage,seconds_saved,percent_reduction,speedup_x
Chat_7_Nebraas_Vanessa,25,12,0.48,46.40863084800367,12,2511,174510,True,12,23.631690979003903,46,2607,817853,12,True,2,50%,22.776939868999765,49.07910328920972,1.9638303026743384
Chat_7_Nebraas_Vanessa,25,19,0.76,83.17832769099914,19,3784,265116,True,19,19.31523609161377,51,3894,1623526,19,True,3,75%,63.86309159938537,76.77852317088131,4.306358322335664
Chat_7_Nebraas_Vanessa,25,25,1.0,69.73593805301061,25,4334,289233,True,25,29.411072492599487,2,4638,2514596,25,True,4,100%,40.324865560411126,57.825085151586684,2.371077697712581
Chat_8_Akib_Muhhamed,23,6,0.2608695652173913,60.98648373300966,6,1343,101797,True,6,23.669734954833984,4,1602,350496,6,True,1,25%,37.31674877817568,61.18855604389854,2.5765596382630647
Chat_8_Akib_Muhhamed,23,12,0.5217391304347826,56.4437348759966,12,2665,189748,True,12,27.411926984786987,66,2974,869259,12,True,2,50%,29.03180789120961,51.43495191271573,2.0590940179915704
Chat_8_Akib_Muhhamed,23,17,0.7391304347826086,74.84130547600216,17,3660,259884,True,17,27.453096628189087,25,3896,1499286,17,True,3,75%,47.388208847813075,63.31825526882089,2.726151679339315
Chat_8_Akib_Muhhamed,23,23,1.0,91.27294015299412,23,4990,343867,True,23,28.74139714241028,55,5312,2525487,23,True,4,100%,62.531543010583846,68.51049490217672,3.175661214406082
Chat_9_Fahim_Akib,22,6,0.2727272727272727,45.44922561700514,6,1509,114297,True,6,18.274268865585327,55,1503,327833,6,True,1,25%,27.174956751419813,59.791902683710674,2.4870612308105273
Chat_9_Fahim_Akib,22,11,0.5,66.44262888700177,11,2952,225433,True,11,31.382148027420044,100,3067,925739,11,True,2,50%,35.06048085958173,52.76805184696814,2.11721099616724
Chat_9_Fahim_Akib,22,16,0.7272727272727273,91.68002752999018,16,4374,334527,True,16,41.73711347579956,64,4503,1835156,16,True,3,75%,49.942914054190624,54.47523893669578,2.196606806149856
Chat_9_Fahim_Akib,22,22,1.0,87.39775543900032,22,5540,401926,True,22,25.60725808143616,77,5737,3226089,22,True,4,100%,61.79049735756416,70.70032525113432,3.4130071701178673
